,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away
129,Rayo Vallecano,Barcelona,33%,67%,231 of 322 — 72%,88% — 564 of 640,4 of 10 — 40%,27% — 4 of 15
130,Valencia,Celta Vigo,55%,45%,411 of 528 — 78%,71% — 312 of 439,0 of 8 — 0%,8% — 1 of 13
131,Getafe,Almería,53%,47%,342 of 470 — 73%,66% — 273 of 415,5 of 18 — 28%,31% — 4 of 13
132,Atlético Madrid,Mallorca,68%,32%,598 of 706 — 85%,75% — 252 of 338,3 of 20 — 15%,13% — 1 of 8
133,Villarreal,Osasuna,45%,55%,401 of 495 — 81%,81% — 492 of 607,3 of 10 — 30%,47% — 7 of 15
134,Real Sociedad,Sevilla,49%,51%,331 of 442 — 75%,74% — 343 of 461,8 of 11 — 73%,25% — 2 of 8
135,Cádiz,Real Madrid,39%,61%,370 of 448 — 83%,91% — 622 of 687,4 of 13 — 31%,36% — 5 of 14
136,Betis,Las Palmas,39%,61%,352 of 442 — 80%,85% — 579 of 678,6 of 12 — 50%,27% — 4 of 15
137,Girona,Athletic Club,60%,40%,575 of 655 — 88%,79% — 349 of 440,2 of 13 — 15%,46% — 6 of 13
138,Mallorca,Cádiz,67%,33%,374 of 507 — 74%,57% — 139 of 245,3 of 16 — 19%,50% — 3 of 6
139,Las Palmas,Getafe,70%,30%,612 of 716 — 85%,63% — 198 of 313,6 of 11 — 55%,33% — 4 of 12
140,Girona,Valencia,75%,25%,624 of 730 — 85%,67% — 164 of 244,5 of 9 — 56%,33% — 3 of 9
141,Athletic Club,Rayo Vallecano,51%,49%,406 of 525 — 77%,77% — 395 of 512,4 of 9 — 44%,27% — 3 of 11
142,Real Madrid,Granada,71%,29%,781 of 855 — 91%,83% — 294 of 355,4 of 11 — 36%,0% — 0 of 2
143,Osasuna,Real Sociedad,29%,71%,171 of 271 — 63%,84% — 551 of 655,3 of 9 — 33%,29% — 5 of 17
144,Mallorca,Alavés,63%,37%,433 of 562 — 77%,67% — 220 of 327,3 of 7 — 43%,57% — 4 of 7
145,Almería,Betis,62%,38%,442 of 560 — 79%,66% — 232 of 349,8 of 20 — 40%,33% — 2 of 6
146,Sevilla,Villarreal,57%,43%,475 of 567 — 84%,83% — 363 of 435,4 of 18 — 22%,80% — 4 of 5
147,Barcelona,Atlético Madrid,58%,42%,578 of 648 — 89%,83% — 385 of 465,2 of 13 — 15%,38% — 3 of 8
