,Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante,posesión_home,posesión_away,home_shots,home_shots_on_target,home_shot_accuracy,away_shots,away_shots_on_target,away_shot_accuracy,home_passes,home_completed_passes,home_passing_accuracy,away_passes,away_completed_passes,away_passing_accuracy
113,2022-10-29,114,Sáb,Sevilla,Rayo Vallecano,0,1,1.2,0.7,0.62,0.38,10.0,4.0,0.4,15.0,5.0,0.33,569.0,449.0,0.79,346.0,247.0,0.71
114,2022-10-29,115,Sáb,Valencia,Barcelona,0,1,0.2,1.6,0.33,0.67,3.0,2.0,0.67,13.0,2.0,0.15,313.0,236.0,0.75,629.0,534.0,0.85
115,2022-10-30,116,Dom,Osasuna,Valladolid,2,0,2.5,0.5,0.48,0.52,19.0,9.0,0.47,7.0,2.0,0.29,437.0,346.0,0.79,473.0,374.0,0.79
116,2022-10-30,117,Dom,Real Madrid,Girona,1,1,2.9,1.4,0.58,0.42,19.0,6.0,0.32,7.0,1.0,0.14,680.0,609.0,0.9,489.0,426.0,0.87
117,2022-10-30,118,Dom,Athletic Club,Villarreal,1,0,1.7,0.3,0.43,0.57,19.0,7.0,0.37,6.0,3.0,0.5,419.0,315.0,0.75,555.0,461.0,0.83
118,2022-10-30,119,Dom,Real Sociedad,Betis,0,2,0.9,1.3,0.58,0.42,14.0,7.0,0.5,10.0,4.0,0.4,465.0,379.0,0.82,340.0,255.0,0.75
119,2022-10-31,120,Lun,Elche,Getafe,0,1,1.3,0.4,0.59,0.41,11.0,4.0,0.36,8.0,3.0,0.38,579.0,465.0,0.8,403.0,293.0,0.73
120,2022-11-04,121,Vie,Girona,Athletic Club,2,1,1.0,0.7,0.42,0.58,19.0,10.0,0.53,11.0,7.0,0.64,404.0,312.0,0.77,567.0,461.0,0.81
121,2022-11-05,122,Sáb,Getafe,Cádiz,0,0,0.6,1.4,0.53,0.47,13.0,1.0,0.08,15.0,4.0,0.27,481.0,376.0,0.78,432.0,314.0,0.73
122,2022-11-05,123,Sáb,Valladolid,Elche,2,1,1.9,0.2,0.51,0.49,16.0,11.0,0.69,4.0,2.0,0.5,465.0,377.0,0.81,455.0,366.0,0.8
123,2022-11-05,124,Sáb,Celta Vigo,Osasuna,1,2,0.7,0.4,0.61,0.39,13.0,5.0,0.38,8.0,4.0,0.5,583.0,483.0,0.83,373.0,279.0,0.75
124,2022-11-05,125,Sáb,Barcelona,Almería,2,0,4.0,0.5,0.7,0.3,26.0,12.0,0.46,4.0,1.0,0.25,769.0,676.0,0.88,336.0,244.0,0.73
125,2022-11-06,126,Dom,Atlético Madrid,Espanyol,1,1,1.9,0.7,0.67,0.33,27.0,7.0,0.26,6.0,2.0,0.33,612.0,513.0,0.84,303.0,216.0,0.71
126,2022-11-06,127,Dom,Real Sociedad,Valencia,1,1,1.1,0.9,0.29,0.71,9.0,3.0,0.33,14.0,3.0,0.21,262.0,165.0,0.63,653.0,542.0,0.83
127,2022-11-06,128,Dom,Villarreal,Mallorca,0,2,0.5,0.4,0.71,0.29,9.0,2.0,0.22,7.0,5.0,0.71,644.0,560.0,0.87,261.0,192.0,0.74
128,2022-11-06,129,Dom,Betis,Sevilla,1,1,1.0,1.5,0.37,0.63,9.0,4.0,0.44,22.0,5.0,0.23,335.0,265.0,0.79,566.0,483.0,0.85
