,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
280,Alavés,Granada,50%,50%,219 of 389 — 56%,62% — 243 of 389,5 of 10 — 50%,25% — 3 of 12,0 of 3 — 0%,60% — 3 of 5
281,Elche,Valencia,56%,44%,293 of 400 — 73%,66% — 208 of 317,2 of 8 — 25%,38% — 3 of 8,2 of 3 — 66%,100% — 2 of 2
282,Osasuna,Levante,45%,55%,328 of 430 — 76%,78% — 412 of 526,7 of 20 — 35%,31% — 4 of 13,3 of 4 — 75%,57% — 4 of 7
283,Rayo Vallecano,Atlético Madrid,54%,46%,427 of 558 — 77%,71% — 336 of 473,3 of 15 — 20%,27% — 3 of 11,2 of 3 — 66%,100% — 3 of 3
284,Espanyol,Mallorca,44%,56%,296 of 398 — 74%,76% — 385 of 508,3 of 12 — 25%,40% — 4 of 10,4 of 4 — 100%,66% — 2 of 3
285,Cádiz,Villarreal,42%,58%,316 of 424 — 75%,82% — 481 of 587,7 of 16 — 44%,33% — 1 of 3,1 of 1 — 100%,85% — 6 of 7
286,Celta Vigo,Betis,52%,48%,419 of 544 — 77%,75% — 371 of 495,3 of 9 — 33%,14% — 1 of 7,1 of 1 — 100%,100% — 3 of 3
287,Sevilla,Real Sociedad,60%,40%,545 of 660 — 83%,76% — 333 of 436,0 of 10 — 0%,15% — 2 of 13,2 of 2 — 100%,% — 0 of 0
288,Real Madrid,Barcelona,40%,60%,419 of 488 — 86%,89% — 639 of 720,4 of 14 — 29%,56% — 10 of 18,6 of 10 — 60%,100% — 4 of 4
289,Getafe,Mallorca,61%,39%,334 of 474 — 70%,55% — 165 of 302,2 of 15 — 13%,14% — 1 of 7,1 of 1 — 100%,50% — 1 of 2
290,Levante,Villarreal,42%,58%,280 of 381 — 73%,78% — 420 of 536,4 of 13 — 31%,15% — 2 of 13,2 of 2 — 100%,50% — 2 of 4
